NH3,NO2,PM10,Lat,Lon,Station
7.04,10.05,22.802,51.54052,5.85307,NL10131
7.04,9.66,28.058,51.54052,5.85307,NL10131
6.73,10.19,21.314,51.54052,5.85307,NL10131
6.73,10.6,21.314,51.54052,5.85307,NL10131
6.73,11.37,20.558,51.54052,5.85307,NL10131
7.04,14.11,35.546,51.54052,5.85307,NL10131
6.73,28.18,25.802,51.54052,5.85307,NL10131
7.35,42.42,31.058,51.54052,5.85307,NL10131
7.66,31.05,25.058,51.54052,5.85307,NL10131
7.04,24.84,33.302,51.54052,5.85307,NL10131
7.35,19.78,18.314,51.54052,5.85307,NL10131
7.98,14.17,,51.54052,5.85307,NL10131
7.98,11.69,15.314,51.54052,5.85307,NL10131
7.04,11.17,13.814,51.54052,5.85307,NL10131
7.04,16.33,16.814,51.54052,5.85307,NL10131
7.66,18.69,10.07,51.54052,5.85307,NL10131
6.73,25.49,16.058,51.54052,5.85307,NL10131
7.35,20.43,20.558,51.54052,5.85307,NL10131
8.6,24.13,26.558,51.54052,5.85307,NL10131
7.66,21.93,27.302,51.54052,5.85307,NL10131
6.41,8.59,,51.54052,5.85307,NL10131
5.79,8.63,,51.54052,5.85307,NL10131
6.1,9.21,12.314,51.54052,5.85307,NL10131
6.73,6.98,2.57,51.54052,5.85307,NL10131
6.73,7.84,10.07,51.54052,5.85307,NL10131
10.16,8.33,7.442,51.54052,5.85307,NL10131
12.04,12.81,16.814,51.54052,5.85307,NL10131
12.35,14.48,11.57,51.54052,5.85307,NL10131
12.35,16.1,13.058,51.54052,5.85307,NL10131
10.79,25.32,23.054,51.54052,5.85307,NL10131
9.85,30.06,22.058,51.54052,5.85307,NL10131
8.6,43.67,19.058,51.54052,5.85307,NL10131
8.34,54.23,22.802,51.54052,5.85307,NL10131
10.16,49.48,9.314,51.54052,5.85307,NL10131
9.54,47.52,15.314,51.54052,5.85307,NL10131
9.54,46.87,22.058,51.54052,5.85307,NL10131
9.54,47.53,,51.54052,5.85307,NL10131
9.85,50.96,16.814,51.54052,5.85307,NL10131
10.48,47.97,61.778,51.54052,5.85307,NL10131
10.16,49.77,43.046,51.54052,5.85307,NL10131
10.16,54.49,35.546,51.54052,5.85307,NL10131
9.85,52.86,34.046,51.54052,5.85307,NL10131
9.85,51.26,27.302,51.54052,5.85307,NL10131
10.32,53.12,32.546,51.54052,5.85307,NL10131
13.65,56.76,29.558,51.54052,5.85307,NL10131
10.53,49.86,28.058,51.54052,5.85307,NL10131
11.1,45.59,30.302,51.54052,5.85307,NL10131
10.79,41.75,13.058,51.54052,5.85307,NL10131
10.48,45.24,27.302,51.54052,5.85307,NL10131
9.12,48.02,31.058,51.54052,5.85307,NL10131
7.87,46.68,28.802,51.54052,5.85307,NL10131
6.73,34.04,27.302,51.54052,5.85307,NL10131
6.41,32.91,17.558,51.54052,5.85307,NL10131
6.73,33.33,,51.54052,5.85307,NL10131
7.04,38.19,26.558,51.54052,5.85307,NL10131
7.04,41.05,20.558,51.54052,5.85307,NL10131
6.57,43.1,28.058,51.54052,5.85307,NL10131
6.1,41.01,,51.54052,5.85307,NL10131
5.16,39.86,25.058,51.54052,5.85307,NL10131
5.48,41.27,24.302,51.54052,5.85307,NL10131
5.79,40.95,20.558,51.54052,5.85307,NL10131
5.79,38.1,27.302,51.54052,5.85307,NL10131
6.73,37.91,28.802,51.54052,5.85307,NL10131
7.66,34.51,20.186,51.54052,5.85307,NL10131
9.23,24.37,32.306,51.54052,5.85307,NL10131
10.16,17.34,12.194,51.54052,5.85307,NL10131
9.54,13.73,11.318,51.54052,5.85307,NL10131
9.85,15.69,20.186,51.54052,5.85307,NL10131
9.85,20.52,18.062,51.54052,5.85307,NL10131
9.85,35.25,28.682,51.54052,5.85307,NL10131
8.92,35.84,-0.55,51.54052,5.85307,NL10131
9.23,27.51,31.55,51.54052,5.85307,NL10131
9.85,25.72,22.802,51.54052,5.85307,NL10131
10.79,22.48,1.694,51.54052,5.85307,NL10131
12.98,18.43,-3.67,51.54052,5.85307,NL10131
12.04,16.98,7.694,51.54052,5.85307,NL10131
11.1,16.92,9.818,51.54052,5.85307,NL10131
9.85,18.98,13.058,51.54052,5.85307,NL10131
